Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-22,5.440399906057981,5.672165889154847,5.2879223315197095,5.666066646575928,10507000,0.0,0.0
2021-02-23,5.794146729697011,5.855137980566618,5.550182889529934,5.562380790710449,9243700,0.0,0.0
2021-02-24,5.5867777049791645,5.659966863975813,5.531885690317744,5.580678462982178,6550600,0.0,0.0
2021-02-25,5.598976535323432,5.666066456473249,5.489192499209399,5.519688129425049,6054200,0.0,0.0
2021-02-26,5.580678710807559,5.592877195343241,5.428201144046088,5.446498870849609,4849000,0.0,0.0
2021-03-01,5.51968810232546,5.544084490047049,5.379408436684496,5.4586968421936035,6578700,0.0,0.0
2021-03-02,5.470894692555324,5.519687462341189,5.19033597545875,5.3672099113464355,6141500,0.0,0.0
2021-03-03,5.428201383529257,5.428201383529257,4.989066390674462,5.178138256072998,10191700,0.0,0.0
2021-03-04,5.190336229670279,5.214732615758094,4.934173884920356,5.153741359710693,17915200,0.0,0.0
2021-03-05,5.123245729462832,5.208633371560979,5.062255055097635,5.190336227416992,9965700,0.0,0.0
2021-03-08,5.123245729462832,5.19643546935023,5.092750683108097,5.190336227416992,4979600,0.0,0.0
2021-03-09,5.153741324104352,5.178137710023617,5.037858636401776,5.165939807891846,3953300,0.0,0.0
2021-03-10,5.1842368838244,5.1842368838244,5.001263701005337,5.117146968841553,9782800,0.0,0.0
2021-03-11,5.153741849243221,5.324516568079108,5.068354780653167,5.184237480163574,7448100,0.0,0.0
2021-03-12,5.159841110117993,5.190336741146855,5.0988498480602695,5.178138256072998,2243400,0.0,0.0
2021-03-15,5.153741867581065,5.20253464456493,5.0988498480602695,5.178138256072998,2556300,0.0,0.0
2021-03-16,5.178138237648348,5.275723791268855,5.1659403342736745,5.184237480163574,2252700,0.0,0.0
2021-03-17,5.190335873342997,5.3245156967863965,5.153741005895726,5.257425785064697,2550800,0.0,0.0
2021-03-18,5.245228760667651,5.281823052577659,5.135444721626061,5.178138256072998,4666500,0.0,0.0
2021-03-19,5.202532768249511,5.202532768249511,5.117145730150833,5.202532768249512,2795400,0.0,0.0
2021-03-22,5.147643060324157,5.172039450879027,5.068355227262705,5.123246669769287,2194800,0.0,0.0
2021-03-23,5.123246129849487,5.147642517833312,5.025660577914185,5.074453353881836,2289600,0.0,0.0
2021-03-24,5.111047780324296,5.129344924300285,5.068354250495082,5.098849296569824,1764200,0.0,0.0
2021-03-25,5.18423683248688,5.214732459597356,5.062254905700684,5.062254905700684,4809400,0.0,0.0
2021-03-26,5.15374131015351,5.184236937883972,5.068354250495082,5.098849296569824,4067400,0.0,0.0
2021-03-29,5.0988497987470724,5.6111745337785335,5.0988497987470724,5.592877388000488,10506900,0.0,0.0
2021-03-30,5.580677790093969,5.757551715089962,5.4891914977930165,5.501389980316162,8874400,0.0,0.0
2021-03-31,5.519688290239851,5.6416702330006,5.519688290239851,5.605075359344482,5409900,0.0,0.0
2021-04-01,5.672165698847532,5.745354862371633,5.5013909839579656,5.519688129425049,6402600,0.0,0.0
2021-04-05,5.598976204226426,5.672165363422465,5.592876962212824,5.6111741065979,3784100,0.0,0.0
2021-04-06,5.623372605779238,5.714858909606895,5.617273363749199,5.641669750213623,4143800,0.0,0.0
