Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-02-07,3.4571788708098268,3.504387939109691,3.3772859886488544,3.4136006832122803,156900,0.0,0.0
2008-02-08,3.4135993886564546,3.4971238124961674,3.3954422214235205,3.4426512718200684,277900,0.0,0.0
2008-02-11,3.5043866503900447,3.5043866503900447,3.399073486130443,3.4499144554138184,43500,0.0,0.0
2008-02-12,3.504386157533288,3.5225436687469482,3.4499139702180286,3.5225436687469482,267200,0.0,0.0
2008-02-13,3.558858520131189,3.667803235851413,3.486228825092941,3.5116491317749023,245900,0.0,0.0
2008-02-14,3.5588586911742683,3.5770162023879286,3.5116493005490406,3.5225436687469482,177300,0.0,0.0
2008-02-15,3.5588584223175226,3.5588584223175226,3.4499137095915966,3.540700912475586,304800,0.0,0.0
2008-02-18,3.5407015800476076,3.646014741395993,3.5080181254350467,3.631488800048828,106300,0.0,0.0
2008-02-19,3.6314873112858823,3.6678023229289884,3.5407001285037354,3.5733835697174072,246700,0.0,0.0
2008-02-20,3.573385972828397,3.6133322354392807,3.5225449916024854,3.5770175457000732,207100,0.0,0.0
2008-02-21,3.5806478321708712,3.7041185067846527,3.5806478321708712,3.631488800048828,822100,0.0,0.0
2008-02-22,3.635120571225543,3.667804027629642,3.547964918365132,3.6242258548736572,298000,0.0,0.0
2008-02-25,3.631488800048828,3.6496463133142245,3.595173773518036,3.631488800048828,80100,0.0,0.0
2008-02-26,3.613332454304137,3.649647492568851,3.5806489891310695,3.6278584003448486,112000,0.0,0.0
2008-02-27,3.6423827201751164,3.685960538841111,3.5951733300388597,3.613330841064453,516100,0.0,0.0
2008-02-28,3.631488352090047,3.6641718026709724,3.602436472979384,3.613330841064453,3276400,0.0,0.0
2008-02-29,3.6605402312007103,3.7041180498667043,3.602436472979384,3.613330841064453,1558800,0.0,0.0
2008-03-03,3.6024366711707594,3.7004866819821296,3.5988050995007033,3.653277635574341,308800,0.0,0.0
2008-03-04,3.6641719543041367,3.6678035259246826,3.6133309905936835,3.6678035259246826,724900,0.0,0.0
2008-03-05,3.6351200719176506,3.914744506351307,3.6351200719176506,3.86753511428833,1745600,0.0,0.0
2008-03-06,3.794904660666721,3.9946365578230036,3.794904660666721,3.9038493633270264,1412300,0.0,0.0
2008-03-07,3.9220084809360243,3.9583231658411977,3.8021693627299236,3.9401659965515137,575100,0.0,0.0
2008-03-10,3.9401663710985977,3.9401663710985977,3.704119338310526,3.758591890335083,116200,0.0,0.0
2008-03-11,3.744064103455213,3.7767472029971785,3.667802845205959,3.700485944747925,240500,0.0,0.0
2008-03-12,3.7004873696130547,3.994638149358241,3.7004873696130547,3.7767486572265625,194300,0.0,0.0
2008-03-13,3.773116987928006,3.7767482135204773,3.595173773518036,3.631488800048828,626500,0.0,0.0
2008-03-14,3.631488800048828,3.6678038265796205,3.5334384362111453,3.631488800048828,1179200,0.0,0.0
2008-03-17,3.5443325438815334,3.5443325438815334,3.27197093060566,3.4317562580108643,135200,0.0,0.0
2008-03-18,3.431756173044038,3.5697527619129077,3.431756173044038,3.5588583946228027,1826400,0.0,0.0
2008-03-19,3.558859750059546,3.5770172666757025,3.2719720957669094,3.3591277599334717,176000,0.0,0.0
2008-03-20,3.3591275811195374,3.3591275811195374,3.2683403491973877,3.2683403491973877,708900,0.0,0.0
2008-03-24,3.2828657521957885,3.359127028313227,3.268339811331788,3.304654836654663,321700,0.0,0.0
2008-03-25,3.3046552416436086,3.359127439977797,3.297392097158628,3.315549612045288,1910600,0.0,0.0
2008-03-26,3.27197093060566,3.4317562580108643,3.2320243390100836,3.4317562580108643,68600,0.0,0.0
2008-03-27,3.43175867961316,3.522545948102005,3.355497360229492,3.355497360229492,46900,0.0,0.0
2008-03-28,3.4027048986501938,3.4027048986501938,3.2719714290398083,3.3409695625305176,46000,0.0,0.0
2008-03-31,3.39544210127916,3.39544210127916,3.279234226410842,3.3409695625305176,81700,0.0,0.0
2008-04-01,3.388178957582373,3.388178957582373,3.308286108546483,3.3409695625305176,165900,0.0,0.0
2008-04-02,3.377284367757958,3.4717031516942116,3.3228118325674743,3.3446009159088135,1112000,0.0,0.0
2008-04-03,3.275603172443354,3.37728476524353,3.275603172443354,3.3772847652435303,222900,0.0,0.0
2008-04-04,3.3409693740097626,3.395441909684685,3.3046546965522148,3.3264434337615967,221000,0.0,0.0
2008-04-07,3.3627586472951254,3.3627586472951254,3.3046548830238427,3.3409695625305176,242100,0.0,0.0
2008-04-08,3.279234398156175,3.37728476524353,3.26834002836617,3.3772847652435303,5474800,0.0,0.0
2008-04-09,3.3409698855960013,3.402705227685368,3.308286428451538,3.308286428451538,1361600,0.0,0.0
2008-04-10,3.37728476524353,3.4317569605193246,3.3591272513763415,3.3772847652435303,142000,0.0,0.0
