,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,3846,8.384648361488559,5.7132644841964755,4.702550888061523,6.775384649468899,1.742959380751461,4.193196937563222,9.957411933289475,5.7642149957262525,38.58000183105469
High,3846,8.52097648973435,5.780260905047727,4.702550888061523,6.881885563819151,1.7825718912030641,4.246726803579141,10.120745430695699,5.874018627116558,38.77000045776367
Low,3846,8.22300361326973,5.611571908445844,4.702550888061523,6.666813823207205,1.7033469569839095,4.092900089500123,9.70559228472689,5.612692195226767,37.84000015258789
Close,3846,8.382177372277559,5.698652267456055,3.479461669921875,6.788903023000663,1.7486180067062378,4.164759159088135,9.933305263519287,5.768546104431152,38.68000030517578
Volume,3846,997724.3991159647,730410.0,0.0,975402.4516220379,0.0,327850.75,1411312.0,1083461.25,12030081.0
Dividends,3846,0.0026905683827353095,0.0,0.0,0.04519975216479093,0.0,0.0,0.0,0.0,1.6
Stock Splits,3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
