,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,1068,9.643474779603068,9.993069901907772,4.659999847412109,2.8189727626122627,3.619999885559082,7.622699684067276,11.757783249952325,4.13508356588505,16.055799416048767
High,1068,9.866052244965523,10.318940173523767,4.699999809265137,2.879820770979401,3.7200000286102295,7.789083769549671,12.081356542398954,4.292272772849283,16.361788510173422
Low,1068,9.410923433894535,9.757237097612698,4.53000020980835,2.758837234832816,3.5399999618530273,7.437517487311524,11.543683574765627,4.106166087454103,15.568802738048717
Close,1068,9.632970907938168,9.995248794555664,7.7247114181518555,2.8223321841016715,3.5799999237060547,7.596819877624512,11.77330756187439,4.176487684249878,15.861862182617188
Volume,1068,5743660.974719102,4286571.5,3419242.0,5084454.037315423,282595.0,2547000.0,7168400.0,4621400.0,62444400.0
Dividends,1068,0.001173315543071161,0.0,0.0,0.017198802392011436,0.0,0.0,0.0,0.0,0.319217
Stock Splits,1068,0.003745318352059925,0.0,0.0,0.1223980122724209,0.0,0.0,0.0,0.0,4.0
