,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6369,22.93157240422918,17.322997452761978,1.7282905578613281,19.648421440818815,1.2422094226909535,8.922110366284565,28.58088969939986,19.658779333115298,79.42308423926477
High,6369,23.218443922632705,17.605396403254574,1.7282905578613281,19.842510949768364,1.2623724937438965,9.080013123073718,28.862468336122287,19.78245521304857,79.78022630890449
Low,6369,22.61857603667856,17.07187437890847,1.7282905578613281,19.421469826317093,1.1882000461129631,8.744071042142426,28.198234558105465,19.45416351596304,78.23802940418578
Close,6369,22.912168380285397,17.343997955322266,1.7282905578613281,19.62422741941345,1.2242059707641602,8.890623092651367,28.504358291625977,19.61373519897461,79.54483795166016
Volume,6369,12046157.15120113,5442000.0,0.0,18929936.380244076,0.0,2907400.0,16902200.0,13994800.0,349243456.0
Dividends,6369,0.008256924744857903,0.0,0.0,0.16351078453835216,0.0,0.0,0.0,0.0,8.197239
Stock Splits,6369,0.0010990736379337415,0.0,0.0,0.05165645978380137,0.0,0.0,0.0,0.0,3.0
