,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,5098,19.22416129961771,12.376084375852045,24.904109954833984,20.68385096774564,1.6299999952316284,9.270017569392664,22.0649995803833,12.794982010990637,197.20299987792967
High,5098,19.49579873590451,12.61939237801232,24.904109954833984,21.214092060197203,1.7000000476837158,9.396938027892547,22.298995971679688,12.90205794378714,239.8147070803235
Low,5098,18.922361686316655,12.114494503226915,24.904109954833984,20.216162241395683,1.600000023841858,9.119430895251686,21.52680730819702,12.407376412945336,171.43777465820312
Close,5098,19.19819853223039,12.371511459350586,24.904109954833984,20.657652312557403,1.6299999952316284,9.251527070999146,22.02750062942505,12.775973558425903,197.2030029296875
Volume,5098,1063041.1883091407,334987.5,0.0,4613276.451529598,0.0,2100.0,989921.0,987821.0,163580681.0
Dividends,5098,0.0005104174185955276,0.0,0.0,0.013202316047563901,0.0,0.0,0.0,0.0,0.563433
Stock Splits,5098,0.0007846214201647705,0.0,0.0,0.056022189181243916,0.0,0.0,0.0,0.0,4.0
