,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4365,3.004378665039165,1.8108029375372559,0.9895337820053102,2.7269217297633586,0.5397327089316196,1.0001206858933975,4.465523179921138,3.46540249402774,13.737925715096827
High,4365,3.0614567095695806,1.8399066925048828,0.9895337820053102,2.7836055637679307,0.5397327089316196,1.0103596034705682,4.547008670051604,3.5366490665810364,13.75371685456657
Low,4365,2.938437126436729,1.7728815078735352,0.9895337820053102,2.659778166321675,0.4884577989578247,0.9929695129394531,4.372126835027386,3.3791573220879325,13.327366378746035
Close,4365,3.001706294191389,1.810182809829712,0.7635225653648376,2.722110131529084,0.4884577989578247,1.003277063369751,4.460854530334473,3.4575774669647217,13.501065254211426
Volume,4365,531754.5805269186,174461.0,0.0,809547.1169394335,0.0,24400.0,752400.0,728000.0,9560895.0
Dividends,4365,0.00045534410080183275,0.0,0.0,0.009035801734547898,0.0,0.0,0.0,0.0,0.3
Stock Splits,4365,0.0007049026345933563,0.0,0.0,0.034377882997455124,0.0,0.0,0.0,0.0,2.0
