,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,7.6960889537328425,5.445152282714844,0.35017067193984985,7.01606048587183,0.3209894539896242,2.509556045609485,11.308664279861201,8.799108234251715,29.760000228881836
High,6371,7.799693255602192,5.521292694213517,0.35017067193984985,7.081818943926753,0.3209896385669708,2.561497477449314,11.477320141458257,8.915822664008942,30.040000915527344
Low,6371,7.587618839468983,5.367696467077305,0.5719451904296875,6.94505985027766,0.3099009703837711,2.460447074270718,11.16742535937927,8.706978285108551,29.530000686645508
Close,6371,7.6925308863328175,5.443943500518799,0.5719451904296875,7.013267329174892,0.3209896385669708,2.511806845664978,11.289336204528809,8.77752935886383,29.760000228881836
Volume,6371,15867980.11332601,10913400.0,0.0,26023352.302619703,0.0,4395600.0,19398000.0,15002400.0,640888896.0
Dividends,6371,0.0026320362580442634,0.0,0.0,0.023367415535443012,0.0,0.0,0.0,0.0,0.590146
Stock Splits,6371,0.0007848061528802386,0.0,0.0,0.04516857656758918,0.0,0.0,0.0,0.0,3.0
