,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6369,22.794548731949163,22.907740491257517,4.194059371948242,15.94576317995397,1.5844230495960887,8.061916219410186,36.31140156379172,28.249485344381533,56.708813363988
High,6369,23.072817543870276,23.211029052734375,4.520264148712158,16.14314742389337,2.05042992728146,8.294919967651367,36.71527395443041,28.42035398677904,58.393148476311914
Low,6369,22.49426988461217,22.68560016415952,4.520264148712158,15.732882320847544,2.003829188715988,7.898814678192139,35.886600639830846,27.987785961638707,55.701593061405475
Close,6369,22.80269557393913,22.867509841918945,4.520264148712158,15.955819601726649,2.041109800338745,8.155117988586426,36.31874465942383,28.163626670837402,57.13201141357422
Volume,6369,39035.01397393626,17400.0,0.0,107424.49509337643,0.0,6000.0,42700.0,36700.0,3845250.0
Dividends,6369,0.004718051813471503,0.0,0.0,0.10594062167955819,0.0,0.0,0.0,0.0,4.27259
Stock Splits,6369,0.0002669963887580468,0.0,0.0,0.021301652501251253,0.0,0.0,0.0,0.0,1.7
