,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,1094,62.85536914685409,37.21881031838193,27.0,55.1261800678253,19.020000457763672,28.25,66.32622990485046,38.076229904850464,294.5248256023781
High,1094,64.5957824835861,38.5,27.25,56.85523784639256,19.459999084472656,29.0,68.29144906892881,39.29144906892881,303.59843888408795
Low,1094,61.058535050182606,35.8586540222168,26.75,53.26286210238827,18.229999542236328,27.5,64.36100538081232,36.861005380812315,276.6228436000189
Close,1094,62.62106909743175,36.97150993347168,27.0,54.865497232943135,19.15999984741211,28.19232177734375,66.32622528076172,38.13390350341797,287.6582946777344
Volume,1094,67881.37842778793,35268.0,15156.0,126574.52389698608,2100.0,19631.0,64605.0,44974.0,1718980.0
Dividends,1094,0.0009614972577696525,0.0,0.0,0.018404279675069624,0.0,0.0,0.0,0.0,0.3716
Stock Splits,1094,3.656307129798903e-05,0.0,0.0,0.001209348110313801,0.0,0.0,0.0,0.0,0.04
