,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,6.9838711959818704,7.166736809109085,0.43113553524017334,5.00617042870822,0.34490829706192017,2.5536155067205675,9.385328910427468,6.8317134037069005,27.306224338091333
High,6371,7.100713455160191,7.286188434986841,0.43113553524017334,5.091684637187922,0.34490829706192017,2.5903791189193726,9.548527140262335,6.9581480213429625,27.89394119217217
Low,6371,6.848677970711769,7.047334942850468,0.43113553524017334,4.902358363304226,0.34490829706192017,2.5122261713637926,9.201549517966193,6.6893233466024,26.79084096903208
Close,6371,6.980127629633508,7.156850337982178,0.43113553524017334,5.005023555836609,0.34490829706192017,2.5648252964019775,9.374635219573975,6.809809923171997,27.53226661682129
Volume,6371,805554.5955109088,196000.0,0.0,3741739.5842376095,0.0,35200.0,707200.0,672000.0,112140208.0
Dividends,6371,0.00067371119133574,0.0,0.0,0.012568175477717975,0.0,0.0,0.0,0.0,0.4771
Stock Splits,6371,0.0012556898446083817,0.0,0.0,0.10022733537746602,0.0,0.0,0.0,0.0,8.0
