,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,2048,18.549835289500393,19.81453062605851,3.0309438705444336,10.750397262276536,2.4022016525268555,7.458897467835175,27.63829730279633,20.179399834961156,40.77000045776367
High,2048,18.859008583493242,20.27887342541124,3.0309438705444336,10.891717986719712,2.4022016525268555,7.546114589170977,27.9852337553249,20.439119166153922,41.060001373291016
Low,2048,18.22970312254592,19.446023144755955,3.0309438705444336,10.613284851963638,2.4022016525268555,7.2719771634428,27.245616558083952,19.973639394641154,40.13999938964844
Close,2048,18.551670833374374,19.913043975830078,3.788680076599121,10.755257376438326,2.4022016525268555,7.428728699684143,27.62979221343994,20.2010635137558,40.810001373291016
Volume,2048,8632716.357421875,7870600.0,0.0,6771014.620196771,0.0,3917525.0,11843900.0,7926375.0,86392000.0
Dividends,2048,0.0019542978515625,0.0,0.0,0.02143695687486603,0.0,0.0,0.0,0.0,0.40669
Stock Splits,2048,0.001953125,0.0,0.0,0.08838834764831845,0.0,0.0,0.0,0.0,4.0
