,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,8.99484841060825,7.869180146755494,0.35645532608032227,15.38230863226559,0.23448044061660767,3.1032447630306494,10.528534763222321,7.425290000191672,150.51073108932977
High,6371,9.128601852236713,8.024725680584782,0.2895362973213196,15.545880424931882,0.23448044061660767,3.1653093654548856,10.677671506522211,7.512362141067325,150.51073108932977
Low,6371,8.838056862931124,7.702506203524341,129.91458129882812,15.165229895613754,0.2337299475349727,3.0383580051100822,10.360672880585945,7.322314875475863,147.3420841190281
Close,6371,8.98359292929428,7.854302883148193,0.3608713448047638,15.337731703083163,0.23448044061660767,3.1013283729553223,10.501797199249268,7.400468826293945,148.9105682373047
Volume,6371,5572637.747292419,1298500.0,0.0,7955748.404365244,0.0,613300.0,8771350.0,8158050.0,71996960.0
Dividends,6371,0.002569811646523309,0.0,0.0,0.03229365985700301,0.0,0.0,0.0,0.0,1.55
Stock Splits,6371,0.016747920263694867,0.0,0.0,1.2535414811963959,0.0,0.0,0.0,0.0,100.0
