,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4314,9.634544985863974,8.893795013427734,12.761249542236328,5.3770263628624795,2.700000047683716,5.860000133514404,11.11612319946289,5.256123065948486,31.309999465942383
High,4314,9.72882547842539,9.0,12.761249542236328,5.4216339909387745,2.75,5.989999771118164,11.23122262954712,5.241222858428955,32.0
Low,4314,9.571690123212651,8.841687202453613,12.761249542236328,5.333604729874169,2.700000047683716,5.792500019073486,11.09000015258789,5.297500133514404,31.309999465942383
Close,4314,9.654757060107114,8.989999771118164,12.761249542236328,5.377385700657035,2.75,5.900000095367432,11.220000267028809,5.320000171661377,31.420000076293945
Volume,4314,3276.873203523412,0.0,0.0,33548.33452320935,0.0,0.0,1100.0,1100.0,2016900.0
Dividends,4314,0.00036089615206305056,0.0,0.0,0.010933901395828777,0.0,0.0,0.0,0.0,0.42
Stock Splits,4314,0.0006494807603152526,0.0,0.0,0.04265857666515485,0.0,0.0,0.0,0.0,2.80186
