,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,3.983090415907561,3.376272493929612,0.5146476626396179,2.661458498493892,0.3971736800218648,2.018006732194488,6.393181353213057,4.375174621018569,11.359999656677246
High,6371,4.030134318718577,3.4184741690669016,0.5090538263320923,2.686646923657654,0.3999704540413618,2.0645369330897703,6.4649668236227535,4.400429890532983,11.430000305175781
Low,6371,3.9322204814143285,3.334855158414151,0.5118502974510193,2.635320768818078,0.37759464259412623,1.9693135125060621,6.307782916753785,4.338469404247723,11.239999771118164
Close,6371,3.9828218884182545,3.380125045776367,0.5146476626396179,2.6615612595251266,0.3887825012207031,2.0179409980773926,6.395004749298096,4.377063751220703,11.34000015258789
Volume,6371,21333515.361481715,18376101.0,0.0,16489129.943354068,0.0,10234264.0,27821689.5,17587425.5,183974869.0
Dividends,6371,0.00047780678072516084,0.0,0.0,0.010120164564415696,0.0,0.0,0.0,0.0,0.60149
Stock Splits,6371,0.0018756867053837702,0.0,0.0,0.045114689960313106,0.0,0.0,0.0,0.0,1.1
