,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4424,7.385466646278643,7.5381235344692605,5.800000190734863,2.632726844956707,1.158932765460616,5.479508564937973,8.96960612197109,3.490097557033117,15.281981082337554
High,4424,7.512171335962083,7.63710880279541,6.889999866485596,2.6835541800086857,1.1886492575896288,5.556775572728123,9.097204753288889,3.540429180560766,15.508801097936262
Low,4424,7.230663487895741,7.393452846439059,4.809999942779541,2.5795785598368806,1.1292171912766005,5.336393885643113,8.806376673791563,3.4699827881484504,15.045710966372102
Close,4424,7.372908748915355,7.5176403522491455,7.690408706665039,2.634792462461962,1.1515036821365356,5.458500504493713,8.954112768173218,3.4956122636795044,15.229573249816895
Volume,4424,3435184.7640144667,1060058.0,0.0,4898992.291271111,0.0,438118.5,5592300.0,5154181.5,75071100.0
Dividends,4424,0.000644754294755877,0.0,0.0,0.015762354203973792,0.0,0.0,0.0,0.0,0.729812
Stock Splits,4424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
