,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,5007,2801.1632588012626,2246.8216353397293,53.0,2267.7604465889785,3.1500000953674316,1220.1610765124165,3879.7471660843435,2659.586089571927,12250.145526924416
High,5007,2863.048270677499,2304.9318746468275,55.0,2312.933212286977,3.240000009536743,1254.4732046821186,3964.55532520795,2710.082120525831,12427.489122577035
Low,5007,2732.341388569193,2188.6000318104807,53.0,2214.3323307475107,3.069999933242798,1194.481652238597,3782.121115484041,2587.639463245444,11821.170232634862
Close,5007,2798.589636268077,2244.0322265625,53.0,2265.4278270609784,3.130000114440918,1221.5756225585938,3867.231201171875,2645.6555786132812,12284.267578125
Volume,5007,226647.96045536248,10294.0,0.0,1457628.70823824,0.0,5113.0,35433.0,30320.0,56983700.0
Dividends,5007,0.022809601557819054,0.0,0.0,0.9351635970938253,0.0,0.0,0.0,0.0,62.09631
Stock Splits,5007,7.98881565807869e-06,0.0,0.0,0.0002825602256818367,0.0,0.0,0.0,0.0,0.01
