,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4499,10.971043021687118,6.547053484564374,2.9715957641601562,8.776972947595308,1.6769730523815052,4.585480123911319,16.45420613608051,11.868726012169192,45.90849897079115
High,4499,11.163565520148705,6.661639323587236,2.9715957641601562,8.898811349638757,1.813111101942118,4.6834914404558905,16.7073603706756,12.023868930219711,46.291071254939624
Low,4499,10.767782978328878,6.398103334738212,3.7797706127166752,8.64492164024916,1.5841516080106632,4.493612718831425,16.17291521913767,11.679302500306246,44.77035208059298
Close,4499,10.96439186401647,6.538990020751953,3.798421621322632,8.770884884025593,1.7326654195785522,4.578417062759399,16.410751342773438,11.832334280014038,45.78416061401367
Volume,4499,7780441.748833074,6103700.0,0.0,6939631.137072539,0.0,3583800.0,9686450.0,6102650.0,94175000.0
Dividends,4499,0.002978757279395421,0.0,0.0,0.06055695457008414,0.0,0.0,0.0,0.0,2.0
Stock Splits,4499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
