,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4499,4.624060414481795,3.8501828286850173,3.122628688812256,2.574463779469374,0.8832578659057617,2.6699072259717105,6.220610429848637,3.550703203876927,13.151363250968808
High,4499,4.693805017938414,3.922761632501471,3.122628688812256,2.598649956738993,0.9011014103889465,2.7211478089513323,6.280217749325919,3.5590699403745867,13.377063055201015
Low,4499,4.541528657687729,3.7733232298497033,3.078019750085949,2.5378902671888515,0.8564924186198003,2.6051649118056215,6.140787423808609,3.5356225120029876,12.799042487874125
Close,4499,4.620922289985793,3.8480424880981445,3.122628688812256,2.5735936948647544,0.8832578659057617,2.667617082595825,6.211899995803833,3.544282913208008,13.129339218139648
Volume,4499,183615.76216937098,74400.0,0.0,370022.12729828537,0.0,23400.0,206745.5,183345.5,6704954.0
Dividends,4499,0.0004938846410313403,0.0,0.0,0.008084755530683252,0.0,0.0,0.0,0.0,0.198405
Stock Splits,4499,0.0005016654812180485,0.0,0.0,0.02379244281961162,0.0,0.0,0.0,0.0,1.14178
