,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6118,13.299866628986184,10.92670006025525,1.8043768405914307,8.57337864088767,1.1994103570630918,6.996563870707049,20.658231001973498,13.661667131266448,38.380001068115234
High,6118,13.466431734801132,11.048188570589424,1.9990186853642338,8.661327870635695,1.2309740178195725,7.102110296890371,20.920743819730212,13.818633522839843,38.59000015258789
Low,6118,13.12854212472804,10.793269286980033,1.8043768405914307,8.485426990619345,1.1575361444968946,6.859788417816162,20.382905573035142,13.52311715521898,37.86000061035156
Close,6118,13.298749218524067,10.940656661987305,1.8043768405914307,8.572593563996792,1.2204535007476807,6.994982361793518,20.60116147994995,13.606179118156433,38.349998474121094
Volume,6118,46903992.04511278,23961731.0,0.0,73456264.6066932,0.0,14993508.75,44721160.0,29727651.25,1847516677.0
Dividends,6118,0.0013129127165740437,0.0,0.0,0.020947623917125274,0.0,0.0,0.0,0.0,1.022841
Stock Splits,6118,0.0034898659692710033,0.0,0.0,0.137112131537037,0.0,0.0,0.0,0.0,10.0
