,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,1751,7.864536170665709,6.3117858945836405,3.9100000858306885,4.252736980627223,2.0,4.340000152587891,11.627867196097402,7.287867043509511,18.34091060667104
High,1751,8.028677104366974,6.44929733718472,4.519999980926514,4.3199419332302895,2.0899999141693115,4.46999979019165,11.953819405886229,7.483819615694578,18.430673925314792
Low,1751,7.694283654019123,6.1487367934216675,2.2300000190734863,4.181136557578842,1.9299999475479126,4.244999885559082,11.425222298246805,7.180222412687723,17.662729102203944
Close,1751,7.860218052997513,6.341252326965332,3.8499999046325684,4.254194853637931,1.940000057220459,4.331917762756348,11.699999809265137,7.368082046508789,18.15142250061035
Volume,1751,40331682.18161051,22269600.0,3652000.0,49427238.1951538,0.0,8963500.0,57303900.0,48340400.0,703389500.0
Dividends,1751,0.00012702055968018275,0.0,0.0,0.0018412602360122576,0.0,0.0,0.0,0.0,0.036864
Stock Splits,1751,0.0028555111364934323,0.0,0.0,0.11948872617308781,0.0,0.0,0.0,0.0,5.0
