,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,3825,11.636391024905347,12.517368962568314,6.121644020080566,5.69498175059156,3.9833626747131348,5.7947386525518025,15.87493401617772,10.080195363625919,24.806905396689956
High,3825,11.803631692358739,12.712033641500993,6.121644020080566,5.7728467064445095,3.9833626747131348,5.863600809858263,16.11878874496107,10.255187935102807,25.243805436726138
Low,3825,11.45654325858243,12.313198743891391,6.121644020080566,5.602107677623036,3.9684984685068234,5.673648593616642,15.616709000625534,9.943060407008891,24.236720549810272
Close,3825,11.625888937906502,12.492613792419434,6.093161106109619,5.687385491030136,3.9833626747131348,5.773550033569336,15.838586807250977,10.06503677368164,24.806909561157227
Volume,3825,1598776.4559477125,1274247.0,0.0,1726564.926043755,0.0,453240.0,2239053.0,1785813.0,54912702.0
Dividends,3825,0.002315004183006536,0.0,0.0,0.0317386880888357,0.0,0.0,0.0,0.0,0.994107
Stock Splits,3825,0.0007973856209150327,0.0,0.0,0.03651985465412223,0.0,0.0,0.0,0.0,2.0
