,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,4442,25.581744532070154,26.782207489013672,34.885231018066406,14.833486129067124,2.130000114440918,14.302945137023926,37.0,22.697054862976074,69.04166853048922
High,4442,26.036782383325768,27.282277557708476,34.885231018066406,15.052041493856521,2.1600000858306885,14.6517972946167,37.61112971850812,22.959332423891418,69.95778145051865
Low,4442,25.040977401954972,26.244999885559082,34.885231018066406,14.55933660314581,2.0799999237060547,13.87015962600708,36.32424545288086,22.45408582687378,66.41825371051853
Close,4442,25.54397104034441,26.7744140625,34.013099670410156,14.817443447006925,2.130000114440918,14.262500286102295,36.97834396362305,22.715843677520752,68.12556457519531
Volume,4442,240431.29693831608,67546.5,0.0,498190.0851018795,0.0,20827.75,224058.5,203230.75,9076500.0
Dividends,4442,0.0003396843764070239,0.0,0.0,0.016890364069139758,0.0,0.0,0.0,0.0,1.00851
Stock Splits,4442,4.5024763619991e-05,0.0,0.0,0.003000825340468552,0.0,0.0,0.0,0.0,0.2
