,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,7.479590721365892,6.079991327064895,16.568933486938477,5.65954389408609,0.5854135823301813,3.394705880628126,10.657348024947748,7.262642144319622,35.78912737505666
High,6371,7.618895350393215,6.189350351640988,16.568933486938477,5.754038609348753,0.6010012912447663,3.465371282285962,10.82972713078339,7.364355848497428,36.94759727929447
Low,6371,7.329402226087142,5.922479082914629,16.568933486938477,5.549868068491528,0.5819496262130047,3.332354297025569,10.43495155911347,7.102597262087901,34.78146743774414
Close,6371,7.466358916451878,6.067391395568848,16.568933486938477,5.646820819538614,0.5836813449859619,3.3848339319229126,10.6226167678833,7.237782835960388,35.48751449584961
Volume,6371,12052956.119761419,7467500.0,0.0,30026563.18766559,0.0,4653700.0,11897100.0,7243400.0,643143840.0
Dividends,6371,0.002246432899073929,0.0,0.0,0.040068869928016816,0.0,0.0,0.0,0.0,1.26801
Stock Splits,6371,0.0007854339978025427,0.0,0.0,0.045168593457113916,0.0,0.0,0.0,0.0,3.0
