,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6369,5.531394680767728,3.34928722584768,4.346797943115234,6.039798033365325,0.2880846631582673,1.259533405303955,6.06662319379639,4.807089788492435,24.96956541664258
High,6369,5.60233862832323,3.4034203114819097,4.346797943115234,6.105787216181339,0.2947843670845032,1.2863320055362637,6.169650686608455,4.883318681072192,25.030354085709405
Low,6369,5.451303447921505,3.295979841539309,4.346797943115234,5.967204826788942,0.28138498695192377,1.23273503780365,5.9417161845689925,4.708981146765343,24.536436554213502
Close,6369,5.528725246480765,3.353888988494873,0.8138595819473267,6.0336510905933745,0.2880846858024597,1.259533405303955,6.066622734069824,4.807089328765869,24.969566345214844
Volume,6369,269874735.9180405,3685772.0,0.0,1053195037.9451555,0.0,2225650.0,7357444.0,5131794.0,17560000000.0
Dividends,6369,0.004259737478411053,0.0,0.0,0.0966675751556447,0.0,0.0,0.0,0.0,6.04385
Stock Splits,6369,0.001122546710629612,0.0,0.0,0.04564608878331475,0.0,0.0,0.0,0.0,2.0
