,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,7.844255079322856,5.757749968842661,6.708051681518554,7.857246471385132,1.0476239458720946,2.8921250998464147,8.685635052161839,5.793509952315424,37.881647989362534
High,6371,7.951952019452427,5.845450224348396,6.708051681518554,7.941583721792828,1.059231124582766,2.9483379536847196,8.78040299930927,5.832065045624551,38.26656671260162
Low,6371,7.731373918800713,5.670048637701496,6.708051681518554,7.773469108531861,1.0238137442747544,2.843435730361705,8.562496361195691,5.719060630833987,37.65633342154533
Close,6371,7.838025938134201,5.766356468200684,1.5773876905441284,7.857330586707467,1.0416715145111084,2.8803699016571045,8.664302825927734,5.78393292427063,38.10696792602539
Volume,6371,511589817.4357244,34800000.0,0.0,3748760086.16765,0.0,22014100.0,55289200.0,33275100.0,73564160000.0
Dividends,6371,0.00674562109558939,0.0,0.0,0.13245600949271644,0.0,0.0,0.0,0.0,6.732003
Stock Splits,6371,0.0009417673834562863,0.0,0.0,0.05602526537547456,0.0,0.0,0.0,0.0,4.0
