,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,6371,879.3463617563181,3.4676632835036085,1.8671102523803709,1721.2057200363918,0.895512597388025,2.075462878138383,1761.741970547249,1759.6665076691106,8541.77917385389
High,6371,894.8918929703557,3.5279293543252654,2150.697998046875,1750.332786472043,0.9165838360786438,2.1046190757565384,1791.8668540187984,1789.762234943042,8695.0712890625
Low,6371,862.8139338345651,3.4163993207480052,1.8157213926315308,1690.6121697772508,0.863906552701463,2.0437076528065807,1723.6089928382353,1721.5652851854286,8354.92812529628
Close,6371,882.5648689832947,3.462171792984009,2097.312255859375,1739.0374392379756,0.90394127368927,2.0729035139083862,1760.2167358398438,1758.1438323259354,19829.130859375
Volume,6371,9153333.590802072,6975007.0,0.0,9536397.560160568,0.0,1977686.5,13116893.0,11139206.5,174601815.0
Dividends,6371,0.0015299596609637419,0.0,0.0,0.022752551274753858,0.0,0.0,0.0,0.0,0.669157
Stock Splits,6371,0.0014980850729869723,0.0,0.0,0.042394738206430985,0.0,0.0,0.0,0.0,1.3076499999999998
