,count,mean,median,mode,std,min,25%,75%,IQR,max
Open,5602,651653.3333345695,11.109023070221312,3520070.2500000005,1315769.1198752397,1.6851139068603513,7.163593013844678,18.758326907668526,11.594733893823847,3728424.2500000005
High,5602,651672.8123178764,11.275459518090834,3520070.2500000005,1315810.3459742877,1.6851139068603513,7.263196138218582,18.957930983503932,11.69473484528535,3728424.2500000005
Low,5602,651193.0199091529,10.928894730683407,3520070.2500000005,1315206.5446620153,1.6851139068603513,7.031946756442279,18.588065666923548,11.556118910481269,3728424.2500000005
Close,5602,651212.5031810778,11.084111213684082,3520070.25,1315247.7930895954,1.6851139068603516,7.155229091644287,18.745405197143555,11.590176105499268,3728424.25
Volume,5602,4746024.995715816,3514560.5,0.0,9424579.457934666,0.0,0.0,6785493.5,6785493.5,499606600.0
Dividends,5602,0.0010232127811495894,0.0,0.0,0.015029364469728211,0.0,0.0,0.0,0.0,0.450164
Stock Splits,5602,0.0012765083898607639,0.0,0.0,0.06168695076265799,0.0,0.0,0.0,0.0,4.0
